jp,cn,context
純夏,纯夏,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；常见角色名，简体化。; Speaker bracket.; Extracted from current cn_text speaker brackets. | 第二遍行级证据（2条） | 最终全文说话人标签：1579/1579；来源 pm-shard-table:5。仅作语境审校参考，不自动替换。
純夏・壬姫,纯夏、壬姬,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：1/1；来源 pm-shard-table:179。仅作语境审校参考，不自动替换。
純夏・壬姫・柏木,纯夏、壬姬、柏木,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：1/1；来源 pm-shard-table:396。仅作语境审校参考，不自动替换。
純夏・壬姫・美琴,纯夏、壬姬、美琴,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:397。仅作语境审校参考，不自动替换。
純夏・壬姫・霞,纯夏、壬姬、霞,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：2/2；来源 pm-shard-table:279。仅作语境审校参考，不自动替换。
純夏・悠陽・冥夜,纯夏、悠阳、冥夜,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:398。仅作语境审校参考，不自动替换。
純夏・柏木,纯夏、柏木,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:208。仅作语境审校参考，不自动替换。
純夏・柏木・壬姫・美琴,纯夏、柏木、壬姬、美琴,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：2/2；来源 pm-shard-table:280。仅作语境审校参考，不自动替换。
純夏・柏木・慧,纯夏、柏木、慧,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:399。仅作语境审校参考，不自动替换。
純夏・武,纯夏、武,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:400。仅作语境审校参考，不自动替换。
純夏・美琴・壬姫,纯夏、美琴、壬姬,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：2/2；来源 pm-shard-table:238。仅作语境审校参考，不自动替换。
純夏・美琴・壬姫・柏木,纯夏、美琴、壬姬、柏木,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:401。仅作语境审校参考，不自动替换。
純夏・霞,纯夏、霞,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：4/4；来源 pm-shard-table:162。仅作语境审校参考，不自动替换。
紫のビキニ,紫色比基尼,时空的欠片；本篇审定 | 第二遍行级证据（2条）；来源 pm-shard-table:281。仅作语境审校参考，不自动替换。
紺のハイレグ,藏青色高叉泳装,时空的欠片；本篇审定 | 第二遍行级证据（2条）；来源 pm-shard-table:282。仅作语境审校参考，不自动替换。
終生のライバル,终生宿敌,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:402。仅作语境审校参考，不自动替换。
絆,羁绊,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:283。仅作语境审校参考，不自动替换。
統合火力演習,联合火力演习,憧憬／再诞；Continues batch_040.；来源 pm-ar-table:293。仅作语境审校参考，不自动替换。
統合生理学,综合生理学,憧憬／再诞；按中文学科表达固定为“综合生理学”。；来源 pm-ar-table:332。仅作语境审校参考，不自动替换。
絶対に終わることのない物語,《永不终结的故事》,憧憬／再诞；对应 The Neverending Story，正文固定译为《永不终结的故事》。；来源 pm-ar-table:322。仅作语境审校参考，不自动替换。
美冴,美冴,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:86。仅作语境审校参考，不自动替换。
美冴さん,美冴姐,憧憬／再诞；按风间、宗像与美冴的亲近关系处理，不机械保留“さん”，固定为“美冴姐”。；来源 pm-ar-table:336。仅作语境审校参考，不自动替换。
美琴,美琴,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；常见角色名，汉字保留。; Speaker bracket.; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：791/791；来源 pm-shard-table:9。仅作语境审校参考，不自动替换。
美琴・壬姫,美琴、壬姬,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:180。仅作语境审校参考，不自动替换。
美琴・柏木・茜・築地,美琴、柏木、茜、筑地,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:403。仅作语境审校参考，不自动替换。
美琴・武,美琴、武,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:284。仅作语境审校参考，不自动替换。
美登里川博士,美登里川博士,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:87。仅作语境审校参考，不自动替换。
老人,老人,时空的欠片；说话人名/称谓，需要固定。 | 公共总表；须以本篇最终正文核对适用语境 | 最终全文说话人标签：46/46；来源 pm-shard-table:58。仅作语境审校参考，不自动替换。
職員,职员,憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:88。仅作语境审校参考，不自动替换。
胸の谷間,胸前的沟壑,憧憬／再诞；保留原文山谷比喻和清十郎的过度分析，以“胸前的沟壑”避免生硬“胸间谷地”。；来源 pm-ar-table:131。仅作语境审校参考，不自动替换。
腐女子,腐女,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:285。仅作语境审校参考，不自动替换。
臨界,临界,时空的欠片；本篇审定 | 第二遍行级证据（3条）；来源 pm-shard-table:154。仅作语境审校参考，不自动替换。
若い士官,年轻士官,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets.；来源 pm-ar-table:317。仅作语境审校参考，不自动替换。
英国,英国,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
英雄伝の七騎士,英雄传说中的七骑士,憧憬／再诞；英雄伝不是作品槽位或普通“英雄传”，按语境译为“英雄传说”；七騎士保留固定群体称呼。；来源 pm-ar-table:207。仅作语境审校参考，不自动替换。
茜,茜,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：345/345；来源 pm-shard-table:20。仅作语境审校参考，不自动替换。 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:89。仅作语境审校参考，不自动替换。
茜・築地,茜、筑地,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：2/2；来源 pm-shard-table:209。仅作语境审校参考，不自动替换。
茶を点てる / 和の精神,点茶 / ‘和’的精神,憧憬／再诞；茶道语境使用准确术语“点茶”；和保留引号与核心汉字，避免泛化为普通“和平精神”。；来源 pm-ar-table:179。仅作语境审校参考，不自动替换。
蒸しタオル,热毛巾,憧憬／再诞；清十郎对湿巾的更精确改口，译为热毛巾才能体现温度和日常用途。；来源 pm-ar-table:140。仅作语境审校参考，不自动替换。
蒼天の白き神の座 GREAT PEAK,GREAT PEAK,憧憬／再诞；用户审定：保留原文英文标题 GREAT PEAK。；来源 pm-ar-table:323。仅作语境审校参考，不自动替换。
薪ストーブ,柴炉,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:286。仅作语境审校参考，不自动替换。
蛇行,蜿蜒,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:287。仅作语境审校参考，不自动替换。
衛士,卫士,憧憬／再诞；Muv-Luv核心术语。 | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:5。仅作语境审校参考，不自动替换。
衛星,卫星,时空的欠片；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:210。仅作语境审校参考，不自动替换。
衝撃の薔薇,冲击蔷薇,憧憬／再诞；保留冲击力与蔷薇意象的称号式意译。；来源 pm-ar-table:204。仅作语境审校参考，不自动替换。
裸の付き合い,坦诚相见,憧憬／再诞；用中文成语“坦诚相见”同时承载真诚交往与赤裸相见的双关；后句继续回扣该译法。；来源 pm-ar-table:130。仅作语境审校参考，不自动替换。
褌 / フンドシ,兜裆布 / Fundoshi,憧憬／再诞；普通叙述采用易懂的“兜裆布”；需要保留日语发音笑点时使用罗马字 Fundoshi，避免生僻字“裈”妨碍阅读。；来源 pm-ar-table:183。仅作语境审校参考，不自动替换。
西ドイツ陸軍,西德陆军,憧憬／再诞；国家+军种。；来源 pm-ar-table:301。仅作语境审校参考，不自动替换。
視察研修,考察学习,憧憬／再诞；指清十郎赴欧洲进行的观摩学习任务，中文用考察学习比视察研修更自然。；来源 pm-ar-table:101。仅作语境审校参考，不自动替换。
観客,观众,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：7/7；来源 pm-shard-table:155。仅作语境审校参考，不自动替换。
記憶の固着,记忆的巩固,时空的欠片；本篇审定；来源 pm-shard-table:404。仅作语境审校参考，不自动替换。
誠一郎兄 / 誠一郎兄さん,诚一郎兄长,憧憬／再诞；按清十郎正式、敬重长兄的关系固定为“诚一郎兄长”，避免机械保留日语兄さん或随场景漂移。；来源 pm-ar-table:30。仅作语境审校参考，不自动替换。
警備兵,警备兵,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:90。仅作语境审校参考，不自动替换。
警備官達,警卫们,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:405。仅作语境审校参考，不自动替换。
警備官１,警卫1,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：3/3；来源 pm-shard-table:239。仅作语境审校参考，不自动替换。
警備官２,警卫2,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:406。仅作语境审校参考，不自动替换。
警備部隊員１,警备部队员1,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:91。仅作语境审校参考，不自动替换。
護衛,护卫,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:92。仅作语境审校参考，不自动替换。
貴卿,卿,憧憬／再诞；与拉拉施泰因自称“吾辈”的夸张文风配套保留“卿”；仅限该角色刻意装腔时使用。；来源 pm-ar-table:215。仅作语境审校参考，不自动替换。
起動キー,启动信号,憧憬／再诞；在蛋白触发机制中指启动条件而非实体钥匙。；来源 pm-ar-table:200。仅作语境审校参考，不自动替换。
起床ラッパ,起床号,憧憬／再诞；中文军队语境通行“起床号”，无需按字面译成起床喇叭。；来源 pm-ar-table:109。仅作语境审校参考，不自动替换。
超上級コース,超高级雪道,时空的欠片；本篇审定 | 第二遍行级证据（2条）；来源 pm-shard-table:240。仅作语境审校参考，不自动替换。
軍人,军人,时空的欠片；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:288。仅作语境审校参考，不自动替换。
軍隊,军队,时空的欠片；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:289。仅作语境审校参考，不自动替换。
速瀬,速濑,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：29/29；来源 pm-shard-table:39。仅作语境审校参考，不自动替换。 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:93。仅作语境审校参考，不自动替换。
速瀬中尉,速濑中尉,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:94。仅作语境审校参考，不自动替换。
速瀬水月,速濑水月,时空的欠片；主库术语表 | 公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:290。仅作语境审校参考，不自动替换。
遅刻ギリギリーズ,踩点族,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:407。仅作语境审校参考，不自动替换。
遙,遥,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：294/294；来源 pm-shard-table:26。仅作语境审校参考，不自动替换。 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:95。仅作语境审校参考，不自动替换。
部隊,部队,时空的欠片；语境型；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:103。仅作语境审校参考，不自动替换。
部隊員１,队员1,仅限完整【说话人】字段；不得用作正文子串替换
部隊員２,队员2,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets.；来源 pm-ar-table:318。仅作语境审校参考，不自动替换。
部隊員３,队员3,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets.；来源 pm-ar-table:319。仅作语境审校参考，不自动替换。
金田ー少年,《金田少年》,时空的欠片；语境型；第二遍行级证据（1条）；来源 pm-shard-table:291。仅作语境审校参考，不自动替换。
鎧衣左近,铠衣左近,憧憬／再诞；沿用系列角色汉字名。；来源 pm-ar-table:26。仅作语境审校参考，不自动替换。
鎧衣美琴,铠衣美琴,时空的欠片；主库术语表 | 公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:292。仅作语境审校参考，不自动替换。
鎧衣課長,铠衣课长,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:96。仅作语境审校参考，不自动替换。
鑑純夏,鉴纯夏,时空的欠片；主库术语表 | 公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:293。仅作语境审校参考，不自动替换。
鑑識,鉴识,时空的欠片；语境型；第二遍行级证据（1条）；来源 pm-shard-table:294。仅作语境审校参考，不自动替换。
長官,长官,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；最终全文说话人标签：6/6；来源 pm-shard-table:163。仅作语境审校参考，不自动替换。
間引き作戦,削减作战,憧憬／再诞；指定期削减BETA数量、维持防区压力的作战；功能上不等于完全清剿。；来源 pm-ar-table:105。仅作语境审校参考，不自动替换。
陸地,陆地,时空的欠片；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:408。仅作语境审校参考，不自动替换。
隊長,队长,时空的欠片；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:137。仅作语境审校参考，不自动替换。
隔壁,隔离壁,时空的欠片；本篇权威正文证据；来源 pm-shard-table:409。仅作语境审校参考，不自动替换。
隗より始めよ,请自隗始,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:410。仅作语境审校参考，不自动替换。
電磁伸縮炭素帯,电磁伸缩碳带,憧憬／再诞；保留材料属性与电磁伸缩机制，固定为“电磁伸缩碳带”。；来源 pm-ar-table:281。仅作语境审校参考，不自动替换。
霞,霞,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；常见角色名，汉字保留。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：1282/1282；来源 pm-shard-table:6。仅作语境审校参考，不自动替换。 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:97。仅作语境审校参考，不自动替换。
霞・冥夜・悠陽,霞、冥夜、悠阳,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:411。仅作语境审校参考，不自动替换。
音速の男爵,音速男爵,憧憬／再诞；采用自然凝练的意译，保留速度与贵族身份的双重意象。；来源 pm-ar-table:205。仅作语境审校参考，不自动替换。
風間,风间,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：303/303；来源 pm-shard-table:25。仅作语境审校参考，不自动替换。 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:98。仅作语境审校参考，不自动替换。
風間・宗像,风间、宗像,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:412。仅作语境审校参考，不自动替换。
風間少尉,风间少尉,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:99。仅作语境审校参考，不自动替换。
風間祷子,风间祷子,时空的欠片；主库术语表 | 公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:181。仅作语境审校参考，不自动替换。
食は文化の極み,食乃文化之精髓,憧憬／再诞；保留清十郎刻意庄重的汉文式句型，但将極み译为语义准确的“精髓”。；来源 pm-ar-table:137。仅作语境审校参考，不自动替换。
香月夕呼,香月夕呼,时空的欠片；主库术语表 | 公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:413。仅作语境审校参考，不自动替换。
騎士の誓い,骑士的誓言,憧憬／再诞；伊尔芙莉德对拥抱和约定的命名，保留骑士道语境的仪式感。；来源 pm-ar-table:141。仅作语境审校参考，不自动替换。
騎士道精神 / 武士道,骑士道精神 / 武士道,憧憬／再诞；采用中文通行概念名；两者必须区分，不能为求顺口合并成泛称“武人精神”。；来源 pm-ar-table:162。仅作语境审校参考，不自动替换。
高原,高原,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:241。仅作语境审校参考，不自动替换。
高機動車,高机动越野车,憧憬／再诞；军用高机动车辆在本场景中高速穿越非铺装路面，补出越野属性便于中文玩家理解。；来源 pm-ar-table:114。仅作语境审校参考，不自动替换。
魔女狩り,猎巫,憧憬／再诞；采用中文通行说法“猎巫”，不用生硬直译“魔女狩猎”。；来源 pm-ar-table:121。仅作语境审校参考，不自动替换。
魔眼,魔眼,憧憬／再诞；原词可直接形成自然中文中二术语，保留传闻的命名感。；来源 pm-ar-table:127。仅作语境审校参考，不自动替换。
鮭児,鲑儿,时空的欠片；本篇审定；来源 pm-shard-table:242。仅作语境审校参考，不自动替换。
麓,山脚,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:119。仅作语境审校参考，不自动替换。
麻倉,麻仓,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:243。仅作语境审校参考，不自动替换。
黒き狼王,黑狼王,憧憬／再诞；采用简洁有力且已在本篇使用的意译，保留称号识别度。；来源 pm-ar-table:206。仅作语境审校参考，不自动替换。
３バカ,三个笨蛋,时空的欠片；语境型；第二遍行级证据（1条）；来源 pm-shard-table:94。仅作语境审校参考，不自动替换。
３回転,三圈,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:414。仅作语境审校参考，不自动替换。
３Ｄ視点版バルジャーノン,3D视角版巴尔加农,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:415。仅作语境审校参考，不自动替换。
５ゲームマッチ / ストレート負け,五局三胜 / 直落三局,憧憬／再诞；按中文体育赛事惯用说法处理；五局比赛先得三局获胜，连失三局即“直落三局”。；来源 pm-ar-table:102。仅作语境审校参考，不自动替换。
９０部隊,90部队,憧憬／再诞；保留编号，是后藤机关前身的固定称呼。；来源 pm-ar-table:260。仅作语境审校参考，不自动替换。
Ａ小隊,A小队,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：3/3；来源 pm-shard-table:81。仅作语境审校参考，不自动替换。
Ａ小隊の猛者達,A 小队的猛将们,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：1/1；来源 pm-shard-table:416。仅作语境审校参考，不自动替换。
Ｂ小隊,B小队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ＢＥＴＡ,BETA,憧憬／再诞；原文缩写必须保留。；来源 pm-ar-table:157。仅作语境审校参考，不自动替换。
Ｂａｃｃａｒａｔ,Baccarat,时空的欠片；本篇审定；来源 pm-shard-table:417。仅作语境审校参考，不自动替换。
Ｃブロック,C区,时空的欠片；语境型；Tournament label.；来源 pm-shard-table:295。仅作语境审校参考，不自动替换。
ＣＯＭ,COM,时空的欠片；第二遍行级证据（2条）；来源 pm-shard-table:296。仅作语境审校参考，不自动替换。
ＣＰ,CP,时空的欠片；Command-post acronym in rules/interface.；来源 pm-shard-table:53。仅作语境审校参考，不自动替换。 | 憧憬／再诞；Command-post acronym in rules/interface. | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:7。仅作语境审校参考，不自动替换。
Ｄ組,D 班,时空的欠片；本篇审定；来源 pm-shard-table:69。仅作语境审校参考，不自动替换。
Ｅブロック,E区,时空的欠片；Tournament label.；来源 pm-shard-table:418。仅作语境审校参考，不自动替换。
ＥＣＴＳＦ計画,ECTSF计划,憧憬／再诞；原文直接使用拉丁缩写，必须保留ECTSF，仅将計画译为“计划”。；来源 pm-ar-table:161。仅作语境审校参考，不自动替换。
ＥＦ－２０００,EF-2000,憧憬／再诞；原文直接使用拉丁字母与数字型号，按规范保留并统一为半角显示。 | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:187。仅作语境审校参考，不自动替换。
Ｇブロック,G区,时空的欠片；语境型；Tournament label.；来源 pm-shard-table:297。仅作语境审校参考，不自动替换。
Ｇ弾,G弹,憧憬／再诞；保留原文 G 缩写并中文化类别后缀。；来源 pm-ar-table:189。仅作语境审校参考，不自动替换。
ＨＱオペレーター,HQ通讯员,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；保留原文HQ缩写；オペレーター在军事广播语境中译为通讯员。；来源 pm-ar-table:113。仅作语境审校参考，不自动替换。
ＨＳＳＴ,HSST,憧憬／再诞；原文缩写直接保留，不擅自展开。；来源 pm-ar-table:256。仅作语境审校参考，不自动替换。
ＪＩＶＥＳ / 総合仮想情報演習システム,JIVES / 综合虚拟信息演习系统,憧憬／再诞；保留原文JIVES缩写，不从外部英文槽展开；日文系统名称按现有固定译名处理。；来源 pm-ar-table:237。仅作语境审校参考，不自动替换。
ＭＬＲＳ / ＡＬＭ,MLRS / ALM,憧憬／再诞；原文只提供缩写，按规则完整保留，不根据外部英文槽擅自展开全称。；来源 pm-ar-table:191。仅作语境审校参考，不自动替换。
Ｓ－１１爆雷,S-11爆雷,憧憬／再诞；保留原文S-11编号及爆雷类别，不擅自缩窄成普通深水炸弹。；来源 pm-ar-table:190。仅作语境审校参考，不自动替换。
ＳＰ,SP,憧憬／再诞；近身警护语境中的原文缩写直接保留。；来源 pm-ar-table:221。仅作语境审校参考，不自动替换。
ＵＭＡ,UMA,时空的欠片；本篇审定 | 第二遍行级证据（7条）；来源 pm-shard-table:144。仅作语境审校参考，不自动替换。
